Tweets ago,@BBC,@CBS,@CNN,@FoxNews,@nytimes
0,-0.2263,0.3182,-0.5859,0.3818,-0.5106
1,0.0,0.8519,0.8402,-0.0516,0.0
2,0.7506,0.0,0.0,-0.7783,0.34
3,0.0,0.0,-0.8342,-0.5106,0.0
4,0.0,0.296,-0.0516,-0.6486,-0.1027
5,0.0,-0.2263,0.0,-0.4215,0.4939
6,0.0,0.6124,0.0,0.0,-0.1027
7,0.7456,0.0,0.3182,0.0,0.6124
8,0.128,0.0,-0.2263,0.0,-0.4215
9,-0.5574,0.0,0.0,0.3691,0.0
10,0.7003,0.0,0.5859,-0.34,0.0
11,0.3818,0.0,0.0,0.0,0.0
12,-0.7351,-0.1779,0.0,-0.3182,0.3716
13,0.0,0.0,0.0,-0.34,-0.4291
14,0.7845,0.0,0.2023,-0.5106,-0.25
15,-0.875,-0.34,0.2382,0.4019,0.0
16,-0.872,0.0,0.5574,-0.34,-0.3612
17,0.4753,0.0,-0.1027,-0.1779,-0.5574
18,0.6239,0.1139,0.0,0.824,-0.6597
19,0.0,0.6249,0.9325,0.0,0.0
20,-0.6114,0.0,0.0,0.1531,0.0
21,0.5106,-0.2714,0.0,-0.5719,0.128
22,0.4574,-0.6369,-0.1695,-0.7783,-0.296
23,0.0,0.0,0.0,-0.0516,-0.4588
24,0.0,0.7901,0.5574,-0.2263,0.0
25,-0.296,0.0,0.8164,0.0701,0.7096
26,0.0,0.3919,-0.4404,0.2492,0.032
27,0.0,0.0,0.5574,-0.7089,0.0
28,-0.4767,-0.2263,-0.7351,0.0018,0.0
29,0.1531,0.0,0.1779,0.7269,0.0
30,-0.8516,0.296,-0.7115,0.0,-0.1901
31,0.0,-0.1531,0.3612,0.0772,0.128
32,-0.5994,0.2263,0.0,0.0,-0.0516
33,0.0,0.7896,-0.7579,0.0,0.0
34,0.5859,0.0,0.34,-0.3182,0.5859
35,0.4215,-0.0531,0.0,-0.3182,0.0772
36,0.4215,0.6486,0.7964,0.0,0.3506
37,-0.7003,0.9642,0.0,-0.5719,0.3182
38,0.5499,0.0,0.0772,0.0,0.34
39,0.7088,0.3612,0.5749,0.6249,-0.5661
40,0.0,-0.2263,-0.5574,0.0,-0.4404
41,-0.5256,0.0,-0.1531,0.4927,0.5574
42,-0.186,-0.485,0.0,0.0,0.0
43,0.4939,-0.2481,0.3167,0.0,-0.765
44,-0.5267,0.0,0.7783,0.5106,0.4404
45,0.6808,0.0,0.6369,0.0,-0.4939
46,-0.1022,0.4753,-0.3182,-0.34,0.0516
47,0.0,0.0,-0.128,0.2263,-0.7096
48,0.0,-0.2263,0.0,0.4939,-0.3818
49,0.6229,0.6705,0.4215,0.4215,-0.6249
50,-0.126,0.6996,0.7184,0.0,0.0
51,0.7003,0.0,0.3818,0.3818,-0.7783
52,0.1531,-0.5411,0.0,0.6249,-0.802
53,0.0,0.5093,-0.8342,-0.4215,-0.1027
54,-0.5346,-0.296,-0.34,0.6369,0.3182
55,0.6597,0.4753,0.7579,-0.5719,-0.6604
56,0.0,0.0,0.7003,-0.6486,-0.8402
57,-0.296,0.3612,0.3182,-0.4215,0.0
58,0.5719,0.6908,0.0,0.0,0.0
59,-0.5994,0.4753,0.0,0.4927,0.3254
60,0.5859,0.6514,-0.5719,-0.5106,0.0
61,0.3818,0.0,0.7003,0.1027,0.765
62,0.6808,0.0,0.9325,0.0,0.25
63,0.2263,-0.6908,0.3182,0.0,0.0
64,-0.128,0.6239,0.0,0.1531,-0.6249
65,-0.5574,0.4588,0.2732,0.0,0.2732
66,0.5719,-0.4389,0.4939,0.9442,0.0772
67,0.0276,0.0,-0.7579,0.7666,-0.3612
68,0.4939,0.0,0.0,-0.7506,-0.0772
69,0.0,0.7351,0.0,0.4404,-0.128
70,-0.4019,0.3182,0.0,0.128,-0.2732
71,0.0,0.0,-0.4019,0.8519,0.0
72,-0.7579,-0.5267,0.2732,0.9451,0.2778
73,0.0,0.0,-0.8271,0.8689,-0.9149
74,-0.4753,0.7861,0.2023,0.1513,-0.5233
75,0.8697,-0.3802,-0.3182,0.0,0.6249
76,0.7964,0.8034,0.3182,0.5574,-0.6808
77,0.5411,0.9051,-0.3182,-0.4939,-0.3818
78,0.5551,0.0,0.7964,-0.8934,-0.5994
79,0.0,0.6696,0.5574,0.2732,-0.34
80,0.0,0.7901,0.0,-0.1779,0.4939
81,0.0,0.6696,0.0516,0.0,-0.7003
82,0.659,0.0,0.0,0.4404,0.296
83,-0.25,0.3612,0.0,-0.0572,0.0
84,0.0,0.7424,-0.2846,0.4777,0.0
85,-0.1027,0.3818,0.9325,-0.5106,-0.25
86,0.0,0.5093,0.0,0.3612,0.5499
87,0.0,0.0,0.743,0.5106,0.3818
88,0.0,0.8316,-0.4588,0.4019,0.0
89,0.3182,0.0,0.0,0.9694,-0.128
90,0.0,0.5994,0.743,-0.296,-0.8402
91,0.0,0.0,-0.3818,0.0,0.0
92,0.0,0.5826,0.0,-0.1695,-0.1531
93,0.4767,-0.5093,0.2382,0.3182,-0.6124
94,0.0,0.0,0.0,0.8639,0.0
95,0.0,0.6041,-0.6808,-0.6808,-0.7096
96,0.3595,0.3802,0.0,0.3612,-0.3818
97,-0.8625,-0.2057,-0.0772,0.5859,-0.296
98,0.0,0.0,-0.0772,0.4019,-0.2263
99,0.6114,-0.0572,0.9325,0.659,-0.5859
